ID,ADDRESS1,INSTITUTION,ADDRESS2,CITY,PROVINCE,ZIP,COUNTRY,LATITUDE,LONGITUDE
700050,PO BOX 4856,CENTRALIAN SR SECONDARY COLL,,ALICE SPRINGS,N T,N T 0871,AUSTRALIA,-23.6977569,133.8952663
700001,PO BOX 2508,OUR LADY SACRED HEART CATHOLIC,,ALICE SPRINGS,N T,N T 0871,AUSTRALIA,-23.6964236,133.8824236
700034,SCHWARZ CRESCENT,ST PHILIPS COLLEGE,,ALICE SPRINGS,N T,N T 0871,AUSTRALIA,-23.6898118,133.8827741
700640,BERSERKER ST N ROCKHAMPTN 4701,NORTH ROCKHAMPTON STATE HS,BX 5021 ROCKHAMPT MAIL CTE4702,N ROCKHMPTN,QLD,QLD 4702,AUSTRALIA,-23.3529015,150.5324051
700200,480 NORMAN RD,LIGHTHOUSE CHRISTIAN SCHOOL,,ROCKHAMPTON,QLD,QLD 4701,AUSTRALIA,-23.3382806,150.538314
700581,154 ROSS RIVER RD,CATHEDRAL SCHOOL,,MUNDINGBURRA,QLD,QLD 4814,AUSTRALIA,-19.296663,146.778813
700406,PO BOX 8,PALMERSTON SENIOR COLLEGE,,PALMERSTON,N T,N T 0830,AUSTRALIA,-12.495146,130.9728742
700229,BULLOCKY POINT,DARWIN HIGH SCHOOL,DARWIN,NORTH TERRITORY,N T,N T 0820,AUSTRALIA,-12.4398075,130.8330692
700400,PO BOX 42321,ESSINGTON INTRNTL SENIOR COLG,,CASUARINA,N T,N T 0811,AUSTRALIA,-12.3737274,130.8712488
713048,ISCHLERSTRASSE 13,SAINT GILGEN INTERNATIONAL SCH,,ST GILGEN,,5340,AUSTRIA,47.7670406,13.3669343
713044,MOOSSTRASSE 106,AMERICAN INTERNATIONAL SCHOOL,,SALZBURG,,A-5020,AUSTRIA,47.7757052,13.02171
713091,JOSEPH GALL GASSE 2,DANUBE INTERNATIONAL SCHOOL,,VIENNA,,1020,AUSTRIA,48.2098183,16.397365
713096,LITCHTENSTEINSTRASSE 39A,LYCEE FRANCAIS DE VIENNE,,VIENNA,,1190,AUSTRIA,48.2207672,16.3592184
713045,MELK STUDY ABROAD PROGRAM,SAINT JOHNS PREPARATORY SCH,STIFTS GYMNASIUM MELK,MELK,,A-3390,AUSTRIA,48.22647,15.34996
713049,BASTIENGASSE 36-38 HAUS 3,AMADEUS INTRNTL SCHL VIENNA,,VIENNA,,A-1180,AUSTRIA,48.2349062,16.3183563
