id,Roster_Year,First_Name,Last_Name,Accolade,College
1586,2009,Taylor,Kemp,All-Freshman Team,MD NOT APPLICABLE
1587,2009,Ethan,White,All-Freshman Team,MD NOT APPLICABLE
1588,2009,Enzo,Martinez,All-Freshman Team,NC NOT APPLICABLE
1589,2009,William,Bates,All-Freshman Team,VA NOT APPLICABLE
1590,2009,Anthony,Arena,All-Freshman Team,Wake Forest University
1591,2009,Andy,Lubahn,All-Freshman Team,Wake Forest University
1592,2010,Charlie,Rugg,First Team,Boston College
1593,2010,Ryan,Finley,First Team,Duke University
1594,2010,Cole,Grossman,First Team,Duke University
1595,2010,Andrew,Wenger,First Team,Duke University
1596,2010,Jason,Herrick,First Team,MD NOT APPLICABLE
1597,2010,Matt,Kassel,First Team,MD NOT APPLICABLE
1598,2010,Zac,MacMath,First Team,MD NOT APPLICABLE
1599,2010,Casey,Townsend,First Team,MD NOT APPLICABLE
1600,2010,Jalil,Anibaba,First Team,NC NOT APPLICABLE
1601,2010,Michael,Farfan,First Team,NC NOT APPLICABLE
1602,2010,Brian,Ownby,First Team,VA NOT APPLICABLE
1603,2010,Kyle,Bekker,Second Team,Boston College
1604,2010,James,Belshaw,Second Team,Duke University
1605,2010,Ethan,White,Second Team,MD NOT APPLICABLE
1606,2010,Eddie,Ababio,Second Team,NC NOT APPLICABLE
1607,2010,Enzo,Martinez,Second Team,NC NOT APPLICABLE
1608,2010,Stephen,McCarthy,Second Team,NC NOT APPLICABLE
1609,2010,Kirk,Urso,Second Team,NC NOT APPLICABLE
1610,2010,Tyler,Lassiter,Second Team,ST NOT APPLICABLE
1611,2010,Clarke,Bentley,Second Team,VT NOT APPLICABLE
1612,2010,Anthony,Arena,Second Team,Wake Forest University
1613,2010,Andy,Lubahn,Second Team,Wake Forest University
1614,2010,Akira,Fitzgerald,Second Team,Wake Forest University
1615,2010,Chris,Ager,All-Freshman Team,Boston College
1616,2010,Cody,Mizell,All-Freshman Team,CU NOT APPLICABLE
1617,2010,Sebastien,Ibeagha,All-Freshman Team,Duke University
1618,2010,Jonathan,Aguirre,All-Freshman Team,Duke University
1619,2010,Patrick,Mullins,All-Freshman Team,MD NOT APPLICABLE
1620,2010,Bruno,Castro,All-Freshman Team,NC NOT APPLICABLE
1621,2010,Sonny,Mukungu,All-Freshman Team,ST NOT APPLICABLE
1622,2010,Brian,Span,All-Freshman Team,VA NOT APPLICABLE
1623,2010,Jared,Watts,All-Freshman Team,Wake Forest University
1624,2010,Luca,Gimenez,All-Freshman Team,Wake Forest University
1625,2010,Kyle,Emerson,All-Freshman Team,Wake Forest University
1626,2011,Kyle,Bekker,First Team,Boston College
1627,2011,Charlie,Rugg,First Team,Boston College
1628,2011,James,Belshaw,First Team,Duke University
1629,2011,Andrew,Wenger,First Team,Duke University
1630,2011,John,Stertzer,First Team,MD NOT APPLICABLE
1631,2011,Casey,Townsend,First Team,MD NOT APPLICABLE
1632,2011,Scott,Goodwin,First Team,NC NOT APPLICABLE
1633,2011,Matt,Hedges,First Team,NC NOT APPLICABLE
1634,2011,Enzo,Martinez,First Team,NC NOT APPLICABLE
1635,2011,Billy,Schuler,First Team,NC NOT APPLICABLE
1636,2011,Will,Bates,First Team,VA NOT APPLICABLE
1637,2011,Jared,Watts,First Team,Wake Forest University
1638,2011,Chris,Ager,Second Team,Boston College
1639,2011,Cody,Mizell,Second Team,CU NOT APPLICABLE
1640,2011,Sebastien,Ibeagha,Second Team,Duke University
1641,2011,Nick,Palodichuk,Second Team,Duke University
1642,2011,Sunny,Jane,Second Team,MD NOT APPLICABLE
1643,2011,Taylor,Kemp,Second Team,MD NOT APPLICABLE
1644,2011,Patrick,Mullins,Second Team,MD NOT APPLICABLE
